AÑO,SEDE,FACULTAD,CARRERA,OBSERVACIONES
2019,SEDE 6,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 6,FACULTAD 3,POSTGRADO 24,1
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,1
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,1
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 4,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 4,FACULTAD 3,LICENCIATURA 10,1
2019,SEDE 5,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 5,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,1
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 01,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 01,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 03,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 03,1
2019,SEDE 1,FACULTAD 1,INGENIERIA 05,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 03,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 05,1
2019,SEDE 1,FACULTAD 1,LICENCIATURA 05,1
2019,SEDE 1,FACULTAD 1,POSTGRADO 16,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 23,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 27,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 20,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 24,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 1,FACULTAD 5,POSTGRADO 30,1
2019,SEDE 1,FACULTAD 5,POSTGRADO 10,1
2019,SEDE 1,FACULTAD 5,POSTGRADO 10,1
2019,SEDE 1,FACULTAD 5,POSTGRADO 10,1
2019,SEDE 1,FACULTAD 2,INGENIERIA 07,1
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,1
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,1
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,1
2019,SEDE 1,FACULTAD 2,INGENIERIA 12,1
2019,SEDE 1,FACULTAD 2,TÉCNICO 03,1
2019,SEDE 1,FACULTAD 2,TÉCNICO 05,1
2019,SEDE 1,FACULTAD 3,INGENIERIA 14,1
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,1
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,1
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 09,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 09,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 11,1
2019,SEDE 1,FACULTAD 3,LICENCIATURA 12,1
2019,SEDE 1,FACULTAD 3,INGENIERIA 28,1
2019,SEDE 1,FACULTAD 3,POSTGRADO 14,1
2019,SEDE 1,FACULTAD 3,POSTGRADO 41,1
2019,SEDE 1,FACULTAD 3,POSTGRADO 41,1
2019,SEDE 1,FACULTAD 3,POSTGRADO 41,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 17,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 18,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 20,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 20,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 21,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 21,1
2019,SEDE 1,FACULTAD 4,INGENIERIA 21,1
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,1
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,1
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,1
2019,SEDE 1,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 1,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 1,FACULTAD 4,LICENCIATURA 16,1
2019,SEDE 1,FACULTAD 4,POSTGRADO 33,1
2019,SEDE 1,FACULTAD 4,POSTGRADO 09,1
2019,SEDE 1,FACULTAD 4,TÉCNICO 06,1
2019,SEDE 7,FACULTAD 6,POSTGRADO 12,1
2019,SEDE 7,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 7,FACULTAD 5,LICENCIATURA 21,1
2019,SEDE 7,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 7,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 7,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 7,FACULTAD 5,INGENIERIA 25,1
